debate_id,debater_name,debater_position,debater_score
1,Debater 1,1,0
1,Debater 2,1,0
1,Debater 3,1,0
1,Debater 4,1,0
2,Debater 5,1,18
2,Debater 4,2,14
2,Debater 1,3,12
2,Debater 2,4,4
2,Debater 3,5,-1
3,Debater 4,1,14
3,Debater 1,2,6
3,Debater 3,3,5
3,Debater 5,4,4
3,Debater 2,5,0
5,Debater 2,1,3
5,Debater 3,2,0
5,Debater 1,3,-1
5,Debater 4,3,-1
5,Debater 5,3,-1
6,Debater 2,1,11
6,Debater 1,2,8
6,Debater 4,3,-4
6,Debater 3,4,-9
7,Debater 1,1,2
7,Debater 4,1,2
7,Debater 2,3,1
7,Debater 3,4,-1
8,Debater 1,1,26
8,Debater 3,2,9
8,Debater 2,3,-7
9,Debater 1,1,20
9,Debater 4,2,17
9,Debater 2,3,-11
9,Debater 3,6,-21
10,Debater 4,1,8
10,Debater 1,2,7
10,Debater 2,3,1
10,Debater 3,4,0
11,Debater 3,1,29
11,Debater 5,2,28
11,Debater 1,3,15
11,Debater 2,4,11
11,Debater 4,5,1
12,Debater 3,1,33
12,Debater 4,2,19
12,Debater 2,3,-2
12,Debater 1,4,-4
13,Debater 3,1,27
13,Debater 2,2,14
13,Debater 1,3,-4
14,Debater 5,1,20
14,Debater 2,2,12
14,Debater 4,3,3
14,Debater 1,4,-9
14,Debater 3,5,-15
16,Debater 2,1,4
16,Debater 1,2,1
16,Debater 3,2,1
16,Debater 5,2,1
16,Debater 4,5,0
17,Debater 1,1,14
17,Debater 4,1,14
17,Debater 3,3,10
17,Debater 2,4,4
18,Debater 1,1,20
18,Debater 3,2,18
18,Debater 2,3,8
18,Debater 4,3,8
