debate_id,debater_name,debater_position,debater_score
1,Debater 1,1,5
1,Debater 2,1,5
1,Debater 3,1,5
1,Debater 4,1,5
2,Debater 1,1,6
2,Debater 4,2,5
2,Debater 5,2,5
2,Debater 2,4,4
2,Debater 3,4,4
3,Debater 4,1,6
3,Debater 1,2,2
3,Debater 2,2,2
3,Debater 3,2,2
3,Debater 5,2,2
5,Debater 1,1,5
5,Debater 3,1,5
5,Debater 2,3,3
5,Debater 4,3,3
5,Debater 5,3,3
6,Debater 1,1,7
6,Debater 3,2,4
6,Debater 4,2,4
6,Debater 2,4,3
7,Debater 2,1,3
7,Debater 3,1,3
7,Debater 4,1,3
7,Debater 1,4,1
8,Debater 1,1,6
8,Debater 2,2,5
8,Debater 3,3,3
9,Debater 1,1,8
9,Debater 2,2,7
9,Debater 4,3,4
9,Debater 3,4,2
10,Debater 1,1,6
10,Debater 2,2,5
10,Debater 3,2,5
10,Debater 4,2,5
11,Debater 1,1,6
11,Debater 3,2,5
11,Debater 5,2,5
11,Debater 2,4,4
11,Debater 4,5,3
12,Debater 1,1,4
12,Debater 3,1,4
12,Debater 2,3,2
12,Debater 4,3,2
13,Debater 2,1,3
13,Debater 3,1,3
13,Debater 1,3,2
14,Debater 5,1,7
14,Debater 2,2,6
14,Debater 4,3,2
14,Debater 1,4,1
14,Debater 3,4,1
16,Debater 3,1,3
16,Debater 2,2,1
16,Debater 1,3,0
16,Debater 4,3,0
16,Debater 5,3,0
17,Debater 1,1,6
17,Debater 2,2,5
17,Debater 3,2,5
17,Debater 4,2,5
18,Debater 1,1,7
18,Debater 2,1,7
18,Debater 3,1,7
18,Debater 4,1,7
