debate_id,debater_name,debater_position,debater_score
1,Debater 2,1,15
1,Debater 3,2,12
1,Debater 1,3,11
1,Debater 4,4,9
2,Debater 5,1,17
2,Debater 1,2,16
2,Debater 4,3,15
2,Debater 2,4,11
2,Debater 3,5,9
3,Debater 1,1,20
3,Debater 4,2,15
3,Debater 3,3,11
3,Debater 2,4,10
3,Debater 5,5,9
5,Debater 3,1,13
5,Debater 5,1,13
5,Debater 1,3,11
5,Debater 2,4,7
5,Debater 4,4,7
6,Debater 1,1,22
6,Debater 4,2,21
6,Debater 3,3,16
6,Debater 2,4,14
7,Debater 2,1,14
7,Debater 3,2,10
7,Debater 4,3,8
7,Debater 1,4,7
8,Debater 1,1,26
8,Debater 3,2,22
8,Debater 2,3,16
9,Debater 1,1,25
9,Debater 4,2,12
9,Debater 2,3,7
9,Debater 3,4,-1
10,Debater 1,1,16
10,Debater 2,2,13
10,Debater 4,3,11
10,Debater 3,4,10
11,Debater 3,1,21
11,Debater 1,2,20
11,Debater 5,3,16
11,Debater 2,4,14
11,Debater 4,5,11
12,Debater 3,1,17
12,Debater 4,2,11
12,Debater 1,3,9
12,Debater 2,4,6
13,Debater 3,1,16
13,Debater 2,2,13
13,Debater 1,3,8
14,Debater 2,1,14
14,Debater 5,2,11
14,Debater 4,3,8
14,Debater 1,4,6
14,Debater 3,5,4
16,Debater 3,1,15
16,Debater 1,2,13
16,Debater 2,3,11
16,Debater 5,4,9
16,Debater 4,5,7
17,Debater 1,1,17
17,Debater 3,2,11
17,Debater 2,3,10
17,Debater 4,4,8
18,Debater 1,1,15
18,Debater 2,2,13
18,Debater 3,3,10
18,Debater 4,4,8
